設立別,學校所在地別,畢業生人數,正在接受職業訓練人數,正在軍中服役人數,需要工作而未找到人數,補習或準備升學人數,健康不良在家休養人數,準備出國人數,其他人數,正在接受職業訓練比率,正在軍中服役比率,需要工作而未找到比率,補習或準備升學比率,健康不良在家休養比率,準備出國比率,其他比率
國立,新北市,491 ,2 ,1 ,0 ,13 ,0 ,0 ,0 ,0.41,0.2,0.00 ,2.65,0.00 ,0.00 ,0.00 
國立,臺北市,1370 ,0 ,3 ,0 ,56 ,0 ,1 ,0 ,0.00 ,0.22,0.00 ,4.09,0.00 ,0.07,0.00 
國立,桃園市,1565 ,3 ,14 ,9 ,20 ,0 ,1 ,1 ,0.19,0.89,0.58,1.28,0.00 ,0.06,0.06
國立,臺中市,1477 ,2 ,2 ,39 ,39 ,0 ,5 ,2 ,0.14,0.14,2.64,2.64,0.00 ,0.34,0.14
國立,臺南市,9922 ,14 ,104 ,65 ,298 ,15 ,7 ,18 ,0.14,1.05,0.66,3,0.15,0.07,0.18
國立,高雄市,4306 ,7 ,32 ,26 ,179 ,2 ,2 ,24 ,0.16,0.74,0.6,4.16,0.05,0.05,0.56
國立,宜蘭縣,3533 ,4 ,84 ,44 ,100 ,3 ,5 ,5 ,0.11,2.38,1.25,2.83,0.08,0.14,0.14
國立,新竹縣,1489 ,7 ,3 ,8 ,45 ,0 ,0 ,3 ,0.47,0.2,0.54,3.02,0.00 ,0.00 ,0.2
國立,苗栗縣,2926 ,7 ,27 ,12 ,86 ,2 ,1 ,5 ,0.24,0.92,0.41,2.94,0.07,0.03,0.17
國立,彰化縣,8242 ,19 ,65 ,57 ,143 ,6 ,5 ,30 ,0.23,0.79,0.69,1.74,0.07,0.06,0.36
國立,南投縣,3218 ,4 ,23 ,36 ,78 ,3 ,0 ,22 ,0.12,0.71,1.12,2.42,0.09,0.00 ,0.68
國立,雲林縣,3359 ,30 ,68 ,32 ,82 ,5 ,0 ,9 ,0.89,2.02,0.95,2.44,0.15,0.00 ,0.27
國立,嘉義縣,940 ,9 ,15 ,7 ,24 ,0 ,0 ,4 ,0.96,1.6,0.74,2.55,0.00 ,0.00 ,0.43
國立,屏東縣,3683 ,21 ,33 ,81 ,85 ,4 ,0 ,31 ,0.57,0.9,2.2,2.31,0.11,0.00 ,0.84
國立,臺東縣,1249 ,4 ,72 ,5 ,36 ,0 ,2 ,9 ,0.32,5.76,0.4,2.88,0.00 ,0.16,0.72
國立,花蓮縣,1782 ,2 ,23 ,13 ,40 ,2 ,2 ,6 ,0.11,1.29,0.73,2.24,0.11,0.11,0.34
國立,澎湖縣,799 ,3 ,17 ,16 ,7 ,0 ,1 ,1 ,0.38,2.13,2,0.88,0.00 ,0.13,0.13
國立,基隆市,1563 ,4 ,5 ,13 ,38 ,3 ,0 ,3 ,0.26,0.32,0.83,2.43,0.19,0.00 ,0.19
國立,新竹市,2730 ,0 ,4 ,5 ,73 ,0 ,0 ,0 ,0.00 ,0.15,0.18,2.67,0.00 ,0.00 ,0.00 
國立,嘉義市,3683 ,6 ,45 ,36 ,119 ,3 ,1 ,10 ,0.16,1.22,0.98,3.23,0.08,0.03,0.27
國立,金門縣,565 ,1 ,9 ,4 ,5 ,1 ,0 ,8 ,0.18,1.59,0.71,0.88,0.18,0.00 ,1.42
國立,連江縣,76 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0.00 ,0.00 ,0.00 ,1.32,0.00 ,0.00 ,0.00 
縣市立,新北市,12927 ,8 ,64 ,69 ,424 ,10 ,9 ,93 ,0.06,0.5,0.53,3.28,0.08,0.07,0.72
縣市立,臺北市,18691 ,49 ,35 ,14 ,546 ,3 ,16 ,5 ,0.26,0.19,0.07,2.92,0.02,0.09,0.03
縣市立,桃園市,7983 ,4 ,30 ,13 ,286 ,3 ,3 ,14 ,0.05,0.38,0.16,3.58,0.04,0.04,0.18
縣市立,臺中市,12335 ,24 ,78 ,43 ,333 ,4 ,2 ,22 ,0.19,0.63,0.35,2.7,0.03,0.02,0.18
縣市立,臺南市,595 ,0 ,1 ,0 ,37 ,0 ,0 ,0 ,0.00 ,0.17,0.00 ,6.22,0.00 ,0.00 ,0.00 
縣市立,高雄市,10710 ,11 ,43 ,21 ,544 ,5 ,16 ,20 ,0.1,0.4,0.2,5.08,0.05,0.15,0.19
縣市立,宜蘭縣,70 ,0 ,0 ,0 ,1 ,0 ,1 ,2 ,0.00 ,0.00 ,0.00 ,1.43,0.00 ,1.43,2.86
縣市立,新竹縣,451 ,0 ,3 ,0 ,10 ,0 ,0 ,0 ,0.00 ,0.67,0.00 ,2.22,0.00 ,0.00 ,0.00 
縣市立,苗栗縣,631 ,3 ,9 ,0 ,13 ,0 ,0 ,1 ,0.48,1.43,0.00 ,2.06,0.00 ,0.00 ,0.16
縣市立,彰化縣,940 ,0 ,5 ,1 ,33 ,1 ,0 ,4 ,0.00 ,0.53,0.11,3.51,0.11,0.00 ,0.43
縣市立,南投縣,220 ,0 ,0 ,0 ,12 ,0 ,0 ,0 ,0.00 ,0.00 ,0.00 ,5.45,0.00 ,0.00 ,0.00 
縣市立,雲林縣,388 ,1 ,10 ,0 ,6 ,1 ,0 ,1 ,0.26,2.58,0.00 ,1.55,0.26,0.00 ,0.26
縣市立,嘉義縣,234 ,0 ,3 ,0 ,5 ,0 ,0 ,0 ,0.00 ,1.28,0.00 ,2.14,0.00 ,0.00 ,0.00 
縣市立,屏東縣,588 ,1 ,6 ,1 ,28 ,0 ,1 ,0 ,0.17,1.02,0.17,4.76,0.00 ,0.17,0.00 
縣市立,臺東縣,13 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0.00 ,0.00 ,7.69,0.00 ,0.00 ,0.00 ,0.00 
縣市立,花蓮縣,35 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
縣市立,澎湖縣,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
縣市立,基隆市,417 ,0 ,7 ,2 ,14 ,0 ,0 ,1 ,0.00 ,1.68,0.48,3.36,0.00 ,0.00 ,0.24
縣市立,新竹市,886 ,2 ,3 ,1 ,16 ,0 ,0 ,0 ,0.23,0.34,0.11,1.81,0.00 ,0.00 ,0.00 
縣市立,嘉義市,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
