設立別,學校所在地,畢業生人數,正在接受職業訓練人數,正在軍中服役人數,需要工作而未找到人數,補習或準備升學人數,健康不良在家休養人數,準備出國人數,其他人數,正在接受職業訓練比率,正在軍中服役比率,需要工作而未找到比率,補習或準備升學比率,健康不良在家休養比率,準備出國比率,其他比率
國立,新北市,564,0,2,0,13,0,0,0,0,0.35,0,2.30,0,0,0
國立,臺北市,1469,0,6,0,19,0,0,1,0,0.41,0,1.29,0,0,0.07
國立,桃園市,7535,2,55,35,71,2,1,10,0.03,0.73,0.46,0.94,0.03,0.01,0.13
國立,臺中市,12327,13,112,70,261,3,6,29,0.11,0.91,0.57,2.12,0.02,0.05,0.24
國立,臺南市,11060,33,173,64,145,12,10,21,0.30,1.56,0.58,1.31,0.11,0.09,0.19
國立,高雄市,4878,13,54,17,88,1,1,15,0.27,1.11,0.35,1.80,0.02,0.02,0.31
國立,宜蘭縣,4334,6,101,45,57,4,0,49,0.14,2.33,1.04,1.32,0.09,0,1.13
國立,新竹縣,1570,0,4,9,13,1,3,2,0,0.25,0.57,0.83,0.06,0.19,0.13
國立,苗栗縣,3196,3,35,11,37,2,2,9,0.09,1.10,0.34,1.16,0.06,0.06,0.28
國立,彰化縣,9230,9,119,123,82,6,1,43,0.10,1.29,1.33,0.89,0.07,0.01,0.47
國立,南投縣,3824,27,46,22,44,5,0,6,0.71,1.20,0.58,1.15,0.13,0,0.16
國立,雲林縣,3701,1,87,43,51,3,1,3,0.03,2.35,1.16,1.38,0.08,0.03,0.08
國立,嘉義縣,1080,2,22,4,9,0,0,3,0.19,2.04,0.37,0.83,0,0,0.28
國立,屏東縣,4437,20,129,50,35,10,1,32,0.45,2.91,1.13,0.79,0.23,0.02,0.72
國立,臺東縣,1523,1,96,12,25,1,0,16,0.07,6.30,0.79,1.64,0.07,0,1.05
國立,花蓮縣,2240,1,72,28,48,1,0,11,0.04,3.21,1.25,2.14,0.04,0,0.49
國立,澎湖縣,915,0,63,18,19,0,0,9,0,6.89,1.97,2.08,0,0,0.98
國立,基隆市,2500,3,33,15,34,3,2,10,0.12,1.32,0.60,1.36,0.12,0.08,0.40
國立,新竹市,2880,3,6,2,18,2,1,4,0.10,0.21,0.07,0.63,0.07,0.03,0.14
國立,嘉義市,4033,14,69,21,94,1,1,22,0.35,1.71,0.52,2.33,0.02,0.02,0.55
國立,金門縣,599,1,28,11,2,1,0,7,0.17,4.67,1.84,0.33,0.17,0,1.17
國立,連江縣,129,0,5,0,4,0,0,2,0,3.88,0,3.10,0,0,1.55
縣市立,新北市,13276,4,74,43,234,5,3,116,0.03,0.56,0.32,1.76,0.04,0.02,0.87
縣市立,臺北市,21956,15,50,21,283,8,16,45,0.07,0.23,0.10,1.29,0.04,0.07,0.20
縣市立,桃園市,3479,3,20,0,50,0,5,3,0.09,0.57,0,1.44,0,0.14,0.09
縣市立,臺中市,3000,2,21,7,51,2,0,0,0.07,0.70,0.23,1.70,0.07,0,0
縣市立,臺南市,652,3,4,1,11,0,0,0,0.46,0.61,0.15,1.69,0,0,0
縣市立,高雄市,11844,6,102,9,312,3,4,32,0.05,0.86,0.08,2.63,0.03,0.03,0.27
縣市立,宜蘭縣,104,0,3,1,4,1,4,3,0,2.88,0.96,3.85,0.96,3.85,2.88
縣市立,新竹縣,207,0,0,0,0,1,0,0,0,0,0,0,0.48,0,0
